"var1" "var2" "var3" "var4"
"713" 532.82 622.76 600.47 527
"714" 610.12 632.18 428 581.53
"715" 438.65 368.24 400.06 416.46
"716" 337 500.41 577.18 621.59
"717" 561.87 518.63 379.35 208.5
"718" 177.18 113.65 566.8 466.12
"719" 587.65 448.88 549.88 548.76
"720" 553.65 486.88 228.29 539.12
"721" 388.18 563 504.82 546.29
"722" 434.12 526.47 431.94 241.47
"723" 508.76 234.53 325.94 235.47
"724" 402.65 526 525.18 540.59
"725" 396 425.24 114.53 449
"726" 536.94 438.59 443.59 420.06
"727" 260.18 367.31 332.06 196.88
"728" 513.18 404.4 232.24 367.47
"729" 346.18 463.29 442.06 107.12
"730" 197.53 47.71 102.71 419.18
"731" 248.29 217.41 275.8 308.2
"732" 123 223.76 406.53 315.47
"733" 148.71 226.94 386.06 337.47
"734" 351.94 377.76 278.94 384.59
"735" 163.76 196.82 301.65 338.65
"736" 355 336.31 338.75 320.33
"737" 233 179.94 345.41 331
"738" 335 292.4 316.69 309
"739" 287 193.71 267.71 317.88
"740" 197.88 264.59 243.35 166.82
"741" 112.24 151.13 160.53 150.24
"742" 150.76 50.35 175.12 21.6
"743" 23.1 25.1 25.8 25.9
"744" 24.9 24.4 24.5 25.5
"745" 25 26 24.9 25
"746" 16.9 18.7 18.6 13.6
"747" 15.6 13 15.2 15.2
"748" 16.4 20.9 24.8 20.3
"749" 27.8 28.4 19.1 14.5
"750" 21.7 26 28.4 25.7
"751" 20.5 24.1 23.2 17.7
"752" 20.3 21.8 20.3 17
"753" 21.5 24.2 27.7 29.9
"754" 26.8 25.4 21.6 23.8
"755" 24.1 22.7 25 25
"756" 17.3 13.5 14.1 18.1
"757" 21 23.9 21.2 25.1
"758" 21 21.3 23.8 21.8
"759" 25.4 25.3 29.6 32.9
"760" 24.4 24.6 27.3 28.1
"761" 30.2 28.7 24 24.6
"762" 20.4 16.8 18.9 14.1
"763" 14.7 18.7 21.2 21.4
"764" 13.7 14.6 15 20.9
"765" 21.9 20.6 20.1 23.6
"766" 20.5 18 17.8 14.7
"767" 21.7 24.7 26.6 24.1
"768" 24.2 21.2 21 16.1
"769" 14.1 16.5 15.8 14
"770" 13.1 14 13.4 15.4
"771" 12.8 14.6 15 15.9
"772" 11.1 12 9.2 8.8
"773" 9.4 9 13 13.5
"774" 11.8 10.5 11.5 13.1
"775" 13.1 14.9 13.5 20.5
"776" 20.6 19 18.6 18.2
"777" 17.3 17.3 13.3 12.4
"778" 15 13.1 25.45 15.65
"779" 16.53 16.37 18.98 15.22
"780" 17.17 13.92 14.58 12.79
"781" 16.13 16.61 12.49 14.25
"782" 15.89 18.99 23.53 20.45
"783" 26.57 17.21 20.18 16.12
"784" 19.02 18.39 24.93 29.62
"785" 25.71 23.73 28.15 27.34
"786" 19.51 19.81 13.97 19.22
"787" 15.59 15.49 14.52 18.25
"788" 20.02 15.14 19.85 24.89
"789" 27.74 22.77 25.65 26.99
"790" 22.01 18.25 22.12 26.01
"791" 28.87 27.61 24.56 22.51
"792" 24.28 26.39 29.23 32.31
"793" 27.58 26.92 27.57 30.54
"794" 22.06 19.22 22.29 24.84
"795" 26.08 26.95 31.43 25.82
"796" 19.92 24.81 21.31 19.39
"797" 21.67 22.08 22.19 17.2
"798" 17.63 22.92 28.32 25.15
"799" 24.13 26.82 26.81 27
"800" 27.24 15.22 15.62 18.47
"801" 15.26 19.2 16.15 18.65
"802" 12.95 14.58 16.93 14.24
"803" 13.75 15.11 19.51 20.85
"804" 18.24 17.11 18.5 15.64
"805" 20.9 15.27 11.33 13.96
"806" 16.37 13.16 14.65 14.33
"807" 13.17 15.61 17.86 19.65
"808" 16.37 16.73 21.81 11.85
"809" 14.38 18.87 16.28 10.99
"810" 12.46 13.39 13.79 20.08
"811" 18.72 20.59 17.42 16.71
"812" 17.62 16.12 13.8 11.84
"813" 9.91 10.99 11.59 13.94
"814" 14.44 11.32 12.37 8.46
"815" 9.39 11.28 9.06 10.11
"816" 9.71 9.95 10.86 13.91
"817" 15.26 15.94 17.18 18.55
"818" 12.3 12.21 12.51 11.6
"819" 9.23 10.45 12.84 15.17
"820" 18.21 21.1 22.19 13.82
"821" 12.9 15.36 11.62 18.64
"822" 21.39 20.99 22.68 24.65
"823" 21.96 21.97 17.27 13.65
"824" 17.21 14.65 15.79 16.06
"825" 17.52 18.61 18.38 23.35
"826" 17.6 17.11 24.84 15.64
"827" 11.72 15.01 15.27 11.74
"828" 19.86 27.03 24.11 21.19
"829" 22.85 21.81 18.02 13.71
"830" 16.29 29.81 28.43 27.44
"831" 30.52 30.88 31.46 28.51
"832" 26.94 29.92 32.21 30.87
"833" 26.86 18.96 22.52 23.29
"834" 22.89 21.84 23.39 20.01
"835" 22.41 25.22 29.58 19.48
"836" 20.33 19.32 20.09 25.75
"837" 28.11 29.12 20.54 18.66
"838" 23.77 25.48 27.03 29.12
"839" 31.85 33.76 26.03 22.53
"840" 27.39 30.09 26.98 26
"841" 26.8 27.14 29.36 25.58
"842" 20.66 20.61 23.83 27.15
"843" 32.05 22.45 23.66 23.45
"844" 25.62 25.36 25.22 22.89
"845" 23.74 26.29 27.88 26.16
"846" 26.96 28 26.79 18.68
"847" 16.76 20.46 23.65 26.05
"848" 24.04 22.16 21.88 23.08
"849" 20.7 23.45 19.24 15.31
"850" 20.99 25.32 15.97 14.06
"851" 12.22 14.62 16.12 16.58
"852" 13.66 16.53 17.85 18.15
"853" 12.52 15.02 14.6 15.27
"854" 18.11 16.01 12.76 12.36
"855" 14.24 14.4 16.71 10.25
"856" 9.49 8.28 7.19 6.69
"857" 6.54 7.16 8.51 9.99
"858" 8.76 8.68 6.71 7.11
"859" 5.26 6.54 14 9.6
"860" 13.3 15.9 17 20
"861" 20 20.5 13.7 15
"862" 12.4 18.3 24.3 29.1
"863" 27.8 27.4 21.7 22.1
"864" 22.9 23.9 22.5 23.7
"865" 26.1 24.3 25.3 23
"866" 23.1 26.1 21.5 24.5
"867" 25.7 24.6 23.3 18.1
"868" 17.8 14.6 18.4 19.7
"869" 18 17.5 19.2 21.1
"870" 23.1 24.3 28.1 27.2
"871" 22.8 22 11.4 17.9
"872" 21.7 24.7 22.1 22.5
"873" 19.7 21.4 25.9 27
"874" 28 28.9 23.6 26
"875" 25.6 17.9 16.4 16.9
"876" 15.5 21.6 27 19.5
"877" 17.7 18.1 22.9 22.3
"878" 18.6 26.4 28.1 28.3
"879" 22.9 29.1 23.7 27.8
"880" 31.9 29.6 25.2 24.4
"881" 29.9 32.5 34.2 34.6
"882" 18.1 22.8 23.9 16.1
"883" 17.1 19.5 23.9 24.2
"884" 29.6 30.3 29.2 25.8
"885" 26 20.2 19.2 29
"886" 29.2 28.3 33.1 23
"887" 23.9 14.1 20.1 17.5
"888" 10.4 12.1 16.5 20.4
"889" 17.2 19.4 20.3 23.6
"890" 20 21.7 14.4 19.2
"891" 21.5 22.6 22.6 16.7
"892" 16.5 23 26 18
"893" 18.9 19.6 21.5 24.5
"894" 16.8 14.2 17.1 17.7
"895" 15.2 14.9 16.6 17.1
"896" 11 13.5 14.9 13.9
"897" 10.9 12.3 11.4 10.7
"898" 10.1 10 7.6 3.9
"899" 7.1 9.8 11 9
"900" 6.4 7.2 6.2 7.6
"901" 7.7 6.9 6.8 9.6
"902" 6.7 4.9 20.72 17.72
"903" 15.46 16.3 10.45 9.26
"904" 20.04 23.67 24.41 25.39
"905" 26.26 21.41 16.37 16.12
"906" 18.57 18.52 25.46 26.05
"907" 23.94 25.31 10.78 19.48
"908" 23.46 26.12 27.48 29.17
"909" 21.59 15.82 21.22 20.11
"910" 17.82 23.28 18.78 17.31
"911" 20.07 27.4 28.81 27.62
"912" 28.72 30.81 25.86 17.58
"913" 15.95 15.19 18.01 15.85
"914" 21.56 18.94 24.44 28.62
"915" 19.49 21.17 21.88 18.76
"916" 19.65 19.19 21.88 19.37
"917" 25.3 27.14 28.93 28.7
"918" 28.52 29.75 29.81 17.67
"919" 21.55 23.17 27.79 15.98
"920" 16.71 15.84 17.01 14.61
"921" 18.9 26.76 24.88 24.1
"922" 21.64 18.45 18.52 16.41
"923" 21.22 26.09 19.24 19
"924" 19.76 17.39 27.65 31.82
"925" 18.9 23.98 26.85 28.05
"926" 26.46 25.92 21.82 24.35
"927" 23.35 22.79 18.18 21.64
"928" 25.91 23.35 28.94 26.96
"929" 28.58 26.07 24.47 25.97
"930" 26.08 28.72 29.89 13.5
"931" 16.85 19.31 20.89 19.08
"932" 16.19 19.56 20.03 16.41
"933" 19.71 19.06 15.09 12.12
"934" 13.57 18.31 20.61 20.39
"935" 16.01 19.07 17.84 18.14
"936" 14.38 18.72 17.89 16.31
"937" 17.19 18.95 20.93 23.81
"938" 24.2 23.28 18.59 18.21
"939" 13.99 13.87 14.94 14.88
"940" 11.42 16.21 17.17 11.24
"941" 11.71 14.84 21.01 15.85
"942" 18.46 13.12 14.77 14.36
"943" 15.43 14.06 19.2 11.37
"944" 10.14 6.55 6.36 7.23
"945" 6.9 5.2 5.89 6.12
"946" 5.33 6.65 7.46 8.26
"947" 9.23 6.6 6.1 5.51
"948" 19.39 18.66 23.96 12.65
"949" 12.82 16.48 24.59 22.49
"950" 14.06 15.4 20.95 23.76
"951" 21.19 20.43 24.26 25.47
"952" 21.51 18.51 11.29 16.16
"953" 16.53 22.86 18.54 23.15
"954" 17.72 17.32 14.04 17.21
"955" 19.53 16.95 23.79 28.19
"956" 27.48 20.98 14.28 12.69
"957" 16.05 20.48 27.55 15.86
"958" 12.28 15.46 20.36 23.49
"959" 20.34 23.24 20.37 21.93
"960" 27.37 27.16 26.43 25.31
"961" 25.08 25.62 30.84 30.34
"962" 31.24 31 27.7 27.97
"963" 21.68 20.8 23.9 27.36
"964" 30.76 32.39 31.81 28.15
"965" 21.5 20.94 19.66 32.17
"966" 31.32 33.39 29.89 32.21
"967" 34.27 34.74 28.82 25.88
"968" 31.22 25.42 30.23 32.5
"969" 35.1 34.15 33.16 27.53
"970" 23.45 28.51 24.38 22.33
"971" 18.35 20.29 20.54 21.99
"972" 25.71 24.75 18.65 15.58
"973" 22.07 27.54 29.47 27.66
"974" 23.41 19.04 23.18 23.19
"975" 18.04 21.14 25.39 21.62
"976" 23.33 22.67 21.31 22.59
"977" 18.08 20.08 16.41 15.89
"978" 18.16 16.42 17.72 21.06
"979" 19.16 17.81 15.01 15.88
"980" 12.5 10.85 14.48 18.2
"981" 18.98 19.9 23.66 20.79
"982" 25.34 20.13 18.87 18.7
"983" 19.08 14.9 12.76 9.15
"984" 10.58 9.77 9.07 13.94
"985" 14.83 16.73 15.96 16.63
"986" 17.25 18.1 14.86 10.51
"987" 11.49 9.12 13.59 12.29
"988" 14.3 15.02 12.42 14.54
"989" 10.11 14.29 12.68 15.32
